OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
157351,360595000000.0,360595000000.0,36,59,519500,4,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,70.4128747,0.0,70.4128747,70.4128747,1227,429.0,381.0,0.685,0,0.0,76,0.199475066,305,0.800524934,579,117,144,318,0.202072539,43,3,0,6,33,1,3,0,6,7,1,26,0,0,4,14,25,0.093023256,6.092635783,17.42579046,0.610683773,0.042605845,0.0,0.085211689,0.468664291,0.014201948,0.042605845,0.0,0.085211689,0.099413637,0.014201948,0.369250654,0.0,0.0,6.703319556,0,0.112860892,0.541857163,0.466730356,0.713138331,0.551951975,0.251243932,0.342230141,0.371918317,0.069706512,0.067716535,0.138263666,13.46511628,3.85895e-06,35.40520759,0.0,7.281159534,28.12404806,312.1520048,0.0,109.0709623,54.53548114,154.5171966,81.80322171,1194.94,0.0,0.0,-99999.0,-99999.0,-99999.0,334517,320969,2798,5240,4.96014e-05,0.27405903,5.39759e-05,0.332832826,2.24523e-07,0.000401782,8.15903e-07,0.001942326,4,10,20,13,13.33333333,2742.264503,284953.1971
157352,360593000000.0,360593000000.0,36,59,303500,2,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,42.2027032,0.0,42.2027032,42.2027032,633,273.0,266.0,0.686,63,0.236842105,88,0.330827068,115,0.432330827,500,91,125,284,0.182,442,26,61,58,145,152,26,61,58,136,152,0,9,0,163,144,135,0.368778281,6.468779943,14.99903921,10.47326276,0.61607428,1.445405042,1.374319548,3.435798871,3.601665023,0.61607428,1.445405042,1.374319548,3.222542389,3.601665023,0.0,0.213256482,0.0,16.94204271,0,1.661654135,0.894220776,0.894220776,0.845819853,0.7288042,0.870876971,0.703723156,0.760976496,0.470406076,0.822325581,0.938428875,1.131221719,0.8770233,28.40171846,0.0,0.014311535,28.38740693,151.6793834,0.0,0.0,15.16490536,90.98943217,75.8245268,270.91,0.0,0.760886107,28.67,434.7778367,0.045292259,432777,407513,460924,418497,6.41711e-05,0.354560291,6.85296e-05,0.422575711,3.69864e-05,0.066186988,6.51628e-05,0.15512546,20,17,18,18,18.16666667,1662.236255,170792.067
157353,360593000000.0,360593000000.0,36,59,302400,2,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,69.0844651,0.0,69.0844651,69.0844651,1292,409.0,409.0,0.597,36,0.08801956,87,0.212713936,286,0.699266504,601,108,128,365,0.179700499,119,11,5,23,71,9,11,5,23,10,9,0,61,0,30,46,43,0.25210084,5.920289017,18.70174428,1.722529078,0.159225377,0.072375171,0.332925788,1.027727433,0.130275308,0.159225377,0.072375171,0.332925788,0.144750343,0.130275308,0.0,0.882977091,0.0,7.642818096,0,0.290953545,0.729676944,0.729676944,0.790787009,0.681384922,0.445545254,0.543314605,0.58500433,0.573378671,0.168674699,0.330555556,5.050420168,0.017415056,26.23630982,0.0,2.30481213,23.93149769,145.1672237,0.0,0.0,18.52804387,92.64021934,64.84815354,791.26,0.0,0.0,5.33,49.37723691,0.004125387,514705,485354,52646,34911,7.63192e-05,0.421681269,8.16197e-05,0.503293911,4.22453e-06,0.007559772,5.43588e-06,0.012940559,8,15,17,14,14.16666667,2640.885218,279581.3231
157354,360593000000.0,360593000000.0,36,59,302800,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,207.0730123,0.0,207.0730123,207.0602,823,250.0,238.0,0.508,17,0.071428571,84,0.352941176,137,0.575630252,364,60,77,227,0.164835165,8191,1533,1617,1140,3550,351,1533,1617,1140,2109,351,10,1431,0,1364,2078,4749,0.166524234,1.207378337,3.974689486,39.55854384,7.403643964,7.809323086,5.505645218,17.14477239,1.695159186,7.403643964,7.809323086,5.505645218,10.18544365,1.695159186,0.048295133,6.911033603,0.0,40.76592218,0,34.41596639,0.873433637,0.873433637,0.876564112,0.820275525,0.834152319,0.581192126,0.610790135,0.373727291,0.182604837,0.085096435,0.044439018,0.384596333,11.29329874,0.0,5.19352775,6.099770988,41.21753919,0.0,12.3627892,3.0906973,12.3627892,21.6348811,697.38,0.0,0.0,26.33,81.37805991,0.03199271,510519,489420,1249146,312337,7.56985e-05,0.418251813,8.23035e-05,0.507510201,0.000100236,0.179372763,4.8633e-05,0.115774834,19,19,9,14,14.0,3857.371639,838011.9213
157355,360593000000.0,360593000000.0,36,59,301101,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,76.267415,0.0,76.267415,76.267415,2726,1047.0,908.0,0.575,18,0.019823789,311,0.342511013,579,0.637665198,1112,197,281,634,0.177158273,43,0,2,18,23,0,0,2,18,17,0,0,6,0,14,22,7,0.325581395,13.72801215,35.74265628,0.563805657,0.0,0.026223519,0.23601167,0.301570468,0.0,0.0,0.026223519,0.23601167,0.222899911,0.0,0.0,0.078670557,0.0,14.29181781,0,0.047356828,0.76634209,0.523109858,0.828768501,0.552512334,0.160317116,0.151278757,0.154991942,4.88599e-06,0.031058144,0.074458874,25.86046512,1.5968e-11,29.65871904,0.0,0.909401601,28.74931744,153.8670217,0.0,33.56610421,0.0,33.56610421,109.0898387,472.07,0.0,0.0,6.67,55.97147878,0.002446809,259128,238380,197859,185249,3.84229e-05,0.212295244,4.00873e-05,0.247191128,1.5877e-05,0.028411823,2.88445e-05,0.068666768,2,10,18,16,13.33333333,3456.154434,308648.3474
157356,360594000000.0,360594000000.0,36,59,416000,3,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,120.602097,0.0,120.602097,101.8060352,1124,390.0,390.0,0.575,15,0.038461538,71,0.182051282,304,0.779487179,534,86,119,329,0.161048689,950,170,16,48,551,165,170,16,48,329,165,52,170,0,341,413,196,0.358947368,3.830814146,11.04060282,9.331470356,1.669842064,0.157161606,0.471484818,5.412252807,1.620729062,1.669842064,0.157161606,0.471484818,3.231635523,1.620729062,0.510775219,1.669842064,0.0,13.1622845,0,2.435897436,0.712983276,0.712983276,0.856013815,0.801044866,0.790626362,0.677688648,0.744094942,0.428650521,0.916104147,0.71967655,0.562105263,0.645393715,22.40797209,3.322213245,2.39509005,16.69066879,148.6461716,5.306707063,37.14694944,15.92012119,137.9743836,15.92012119,492.19,0.437474506,0.914165427,14.0,74.29389889,0.012455516,303597,331537,66295,98823,4.50166e-05,0.248727267,5.5753e-05,0.343791446,5.31978e-06,0.009519718,1.53874e-05,0.036630999,18,19,17,16,17.16666667,3126.446753,488071.9341
157357,360593000000.0,360593000000.0,36,59,300700,2,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,41.4517663,0.0,41.4517663,41.4517663,731,295.0,295.0,0.492,0,0.0,200,0.677966102,95,0.322033898,369,72,81,216,0.195121951,474,14,30,69,361,0,14,30,69,66,0,0,295,0,80,109,285,0.168776371,7.116705181,17.63495419,11.43497714,0.337741941,0.72373273,1.66458528,8.708917188,0.0,0.337741941,0.72373273,1.66458528,1.592212007,0.0,0.0,7.116705181,0.0,18.55168232,0,1.606779661,0.55301979,0.476345319,0.701428487,0.542888837,0.707300711,0.39224538,0.407898703,0.485154376,0.786721992,0.87544484,0.778481013,0.801300707,25.03575842,0.0,4.200742468,20.83501595,144.1289608,0.0,15.43963158,46.31889474,61.75852632,46.31889474,429.16,0.356870332,0.871376939,88.67,1369.032132,0.12129959,483001,445959,556748,223152,7.16182e-05,0.3957072,7.49949e-05,0.462442773,4.46757e-05,0.079946961,3.47463e-05,0.082716379,16,10,17,16,15.33333333,2384.381219,167752.9035
157358,360594000000.0,360594000000.0,36,59,413100,3,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,89.2997161,0.0,89.2997161,89.2997161,1209,351.0,351.0,0.591,9,0.025641026,67,0.190883191,275,0.783475783,599,117,122,360,0.195325543,3936,0,0,14,3910,12,0,0,14,69,12,0,3841,0,319,952,2665,0.081046748,3.930583605,13.53867686,44.07628794,0.0,0.0,0.156775414,43.7851336,0.134378927,0.0,0.0,0.156775414,0.772678828,0.134378927,0.0,43.01245477,0.0,48.00687155,0,11.21367521,0.040325767,0.027526618,0.095543283,0.063695522,0.233717477,0.092605027,0.101815198,0.379732388,0.469970845,0.264167585,0.152184959,0.428349837,28.19208173,0.0,0.0,28.19208173,155.3205386,0.0,0.0,0.0,114.6700174,78.83563697,514.99,0.0,0.0,26.0,186.3387783,0.021505376,325586,352176,101841,143727,4.82771e-05,0.266742149,5.92238e-05,0.365193316,8.17213e-06,0.014623992,2.23793e-05,0.053275691,3,2,18,15,11.83333333,2546.67591,361391.9355
157359,360595000000.0,360595000000.0,36,59,518100,3,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,143.248812,0.0,143.248812,143.248812,1114,387.0,377.0,0.585,6,0.015915119,85,0.225464191,286,0.75862069,422,83,80,259,0.196682464,202,29,13,20,115,25,29,13,20,32,25,76,7,0,71,60,71,0.351485149,2.701593085,7.776678804,1.410133859,0.20244496,0.090751189,0.139617214,0.802798979,0.174521517,0.20244496,0.090751189,0.139617214,0.223387542,0.174521517,0.530545412,0.048866025,0.0,4.111726944,0,0.535809019,0.785036445,0.785036445,0.883363162,0.826637974,0.606969927,0.671459748,0.733697131,0.797819666,0.306990881,0.647435897,2.089108911,0.336516226,16.73879237,2.550835363,1.536976446,12.65098057,62.579786,4.467750839,8.935501678,0.0,84.88726594,0.0,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,275376,260467,-99999,-99999,4.08321e-05,0.225606709,4.38015e-05,0.270094519,-99999.0,-99999.0,-99999.0,-99999.0,13,19,11,1,9.333333333,3467.838216,579718.9851
157360,360594000000.0,360594000000.0,36,59,410800,1,408.0,"New York-Newark, NY-NJ-CT-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",19318471,9159786,8946175,60.4389303,0.0,60.4389303,60.4389303,1112,465.0,437.0,0.57,54,0.123569794,198,0.453089245,185,0.423340961,616,127,141,348,0.206168831,29,0,8,13,8,0,0,8,13,5,0,0,3,0,7,14,8,0.24137931,7.693716578,18.39873728,0.479823184,0.0,0.132365016,0.215093152,0.132365016,0.0,0.0,0.132365016,0.215093152,0.082728135,0.0,0.0,0.049636881,0.0,8.173539762,0,0.066361556,0.97414972,0.664960633,0.903641458,0.602427638,0.216163228,0.142685057,0.139695764,2.68377e-07,0.050832603,0.089922481,21.24137931,1.61913e-09,30.40632708,0.0,1.723749373,28.6825777,233.0259641,0.0,21.17840262,21.17840262,169.427221,84.71361049,540.47,0.73815138,1.0,10.67,112.986778,0.009595324,398392,411033,63081,77276,5.90726e-05,0.326389765,6.91215e-05,0.426225819,5.06187e-06,0.009058199,1.20324e-05,0.028644112,3,12,20,15,14.16666667,2294.167114,244592.4353
